EXTRATO DE CONTA CORRENTE C6 BANK

Agência: 1 / Conta: 162406720
Extrato gerado em 22/07/2026 - as 20:59:07

Extrato de 01/07/2026 a 22/07/2026


Data Lançamento,Data Contábil,Título,Descrição,Entrada(R$),Saída(R$),Saldo do Dia(R$)
04/07/2026,06/07/2026,C6TAG ESTACIONAMENTO,OIC3135-CENTERVALE SHOPPING  AVENIDA DEP,0.00,14.00,655.56
06/07/2026,06/07/2026,MENSALIDADE C6TAG,TARIFA  MENSALIDADE TAG 072026,0.00,8.00,655.56
11/07/2026,13/07/2026,C6TAG ESTACIONAMENTO,OIC3135-VALE SUL SHOPPING  AVENIDA ANDRO,0.00,14.00,641.56
15/03/2026,16/03/2026,RES DE CDB VENC,,1380.50,0.00,758.13
16/03/2026,16/03/2026," EMISSAO DE CDB",,0.00,1379.00,758.13
